Countries,Nuclear Gen Value (group),Number of Records,Year,Nuclear Gen Value
Japan,286.88826599999999,1,1995,286.888266
Malaysia,-10,1,1995,0
New Zealand,-10,1,1995,0
Pakistan,0.52148919999999999,1,1995,0.5214892
Philippines,-10,1,1995,0
Singapore,-10,1,1995,0
South Korea,67.028647000000007,1,1995,67.028647
Sri Lanka,-10,1,1995,0
Taiwan,35.315640000000002,1,1995,35.31564
Thailand,-10,1,1995,0
Vietnam,-10,1,1995,0
Canada,92.122105259999998,1,1996,92.12210526
Mexico,7.8797902000000004,1,1996,7.8797902
US,710.24057470000002,1,1996,710.2405747
Argentina,7.4599472000000002,1,1996,7.4599472
Brazil,2.427,1,1996,2.427
Chile,-10,1,1996,0
Colombia,-10,1,1996,0
Ecuador,-10,1,1996,0
Peru,-10,1,1996,0
Trinidad and Tobago,-10,1,1996,0
Venezuela,-10,1,1996,0
Austria,-10,1,1996,0
Belgium,43.335999999999999,1,1996,43.336
Bulgaria,18.082000000000001,1,1996,18.082
Croatia,,1,1996,
Cyprus,-10,1,1996,0
Czech Republic,12.851615199999999,1,1996,12.8516152
Denmark,-10,1,1996,0
Estonia,-10,1,1996,0
Finland,19.662105260000001,1,1996,19.66210526
France,397.33999999999997,1,1996,397.34
Germany,161.613,1,1996,161.613
Greece,-10,1,1996,0
Hungary,14.18,1,1996,14.18
Iceland,-10,1,1996,0
Ireland,-10,1,1996,0
Italy,-10,1,1996,0
Latvia,-10,1,1996,0
Lithuania,13.942,1,1996,13.942
Luxembourg,-10,1,1996,0
Netherlands,4.1600000000000001,1,1996,4.16
North Macedonia,,1,1996,
Norway,-10,1,1996,0
Poland,-10,1,1996,0
Portugal,-10,1,1996,0
Romania,1.3860000000000001,1,1996,1.386
Slovakia,11.249000000000001,1,1996,11.249
Slovenia,4.5620000000000003,1,1996,4.562
Spain,56.329999999999998,1,1996,56.33
Sweden,74.274000000000001,1,1996,74.274
Switzerland,24.96736842,1,1996,24.96736842
Turkey,-10,1,1996,0
Ukraine,79.576999999999998,1,1996,79.577
United Kingdom,94.685644999999994,1,1996,94.685645
Azerbaijan,-10,1,1996,0
Belarus,-10,1,1996,0
Kazakhstan,0.088387999999999994,1,1996,0.088388
Russian Federation,109.026,1,1996,109.026
Turkmenistan,-10,1,1996,0
USSR,,1,1996,
Uzbekistan,-10,1,1996,0
Iran,-10,1,1996,0
Iraq,-10,1,1996,0
Israel,-10,1,1996,0
Kuwait,-10,1,1996,0
Oman,-10,1,1996,0
Qatar,-10,1,1996,0
Saudi Arabia,-10,1,1996,0
United Arab Emirates,-10,1,1996,0
Algeria,-10,1,1996,0
Egypt,-10,1,1996,0
Morocco,-10,1,1996,0
South Africa,11.775000090000001,1,1996,11.77500009
Eastern Africa,-10,1,1996,0
Australia,-10,1,1996,0
Bangladesh,-10,1,1996,0
China,14.340953000000001,1,1996,14.340953
Hong Kong SAR,-10,1,1996,0
India,8.4012794,1,1996,8.4012794
Indonesia,-10,1,1996,0
Japan,296.50116400000002,1,1996,296.501164
Malaysia,-10,1,1996,0
New Zealand,-10,1,1996,0
Pakistan,0.32703559999999998,1,1996,0.3270356
Philippines,-10,1,1996,0
Singapore,-10,1,1996,0
South Korea,73.924340000000001,1,1996,73.92434
Sri Lanka,-10,1,1996,0
Taiwan,37.787689999999998,1,1996,37.78769
Thailand,-10,1,1996,0
Vietnam,-10,1,1996,0
Canada,81.954736839999995,1,1997,81.95473684
Mexico,10.4607198,1,1997,10.4607198
US,661.73070629999995,1,1997,661.7307063
Argentina,7.9637587999999999,1,1997,7.9637588
Brazil,3.169,1,1997,3.169
Chile,-10,1,1997,0
Colombia,-10,1,1997,0
Ecuador,-10,1,1997,0
Peru,-10,1,1997,0
Trinidad and Tobago,-10,1,1997,0
Venezuela,-10,1,1997,0
Austria,-10,1,1997,0
Belgium,47.408000000000001,1,1997,47.408
Bulgaria,17.751000000000001,1,1997,17.751
Croatia,,1,1997,
Cyprus,-10,1,1997,0
Czech Republic,12.493643799999999,1,1997,12.4936438
Denmark,-10,1,1997,0
Estonia,-10,1,1997,0
Finland,21.10631579,1,1997,21.10631579
France,395.483,1,1997,395.483
Germany,170.328,1,1997,170.328
Greece,-10,1,1997,0
Hungary,13.968,1,1997,13.968
Iceland,-10,1,1997,0
Ireland,-10,1,1997,0
Italy,-10,1,1997,0
Latvia,-10,1,1997,0
Lithuania,12.023999999999999,1,1997,12.024
Luxembourg,-10,1,1997,0
Netherlands,2.4079999999999999,1,1997,2.408
North Macedonia,,1,1997,
Norway,-10,1,1997,0
Poland,-10,1,1997,0
Portugal,-10,1,1997,0
Romania,5.4000000000000004,1,1997,5.4
Slovakia,11.073,1,1997,11.073
Slovenia,5.0190000000000001,1,1997,5.019
Spain,55.298000000000002,1,1997,55.298
Sweden,69.927999999999997,1,1997,69.928
Switzerland,25.23263158,1,1997,25.23263158
Turkey,-10,1,1997,0
Ukraine,79.433000000000007,1,1997,79.433
United Kingdom,98.163712799999999,1,1997,98.1637128
Azerbaijan,-10,1,1997,0
Belarus,-10,1,1997,0
Kazakhstan,0.30051919999999999,1,1997,0.3005192
Russian Federation,108.498,1,1997,108.498
Turkmenistan,-10,1,1997,0
USSR,,1,1997,
Uzbekistan,-10,1,1997,0
Iran,-10,1,1997,0
Iraq,-10,1,1997,0
Israel,-10,1,1997,0
Kuwait,-10,1,1997,0
Oman,-10,1,1997,0
Qatar,-10,1,1997,0
Saudi Arabia,-10,1,1997,0
United Arab Emirates,-10,1,1997,0
Algeria,-10,1,1997,0
Egypt,-10,1,1997,0
Morocco,-10,1,1997,0
South Africa,12.646999879999999,1,1997,12.64699988
Eastern Africa,-10,1,1997,0
Australia,-10,1,1997,0
Bangladesh,-10,1,1997,0
China,14.4205022,1,1997,14.4205022
Hong Kong SAR,-10,1,1997,0
India,10.071812599999999,1,1997,10.0718126
Indonesia,-10,1,1997,0
Japan,321.15693700000003,1,1997,321.156937
Malaysia,-10,1,1997,0
New Zealand,-10,1,1997,0
Pakistan,0.45077879999999998,1,1997,0.4507788
Philippines,-10,1,1997,0
Singapore,-10,1,1997,0
South Korea,77.085649000000004,1,1997,77.085649
Sri Lanka,-10,1,1997,0
Taiwan,36.269469000000001,1,1997,36.269469
Thailand,-10,1,1997,0
Vietnam,-10,1,1997,0
Canada,70.992631579999994,1,1998,70.99263158
Mexico,9.2630624000000008,1,1998,9.2630624
US,709.16010949999998,1,1998,709.1601095
Argentina,7.4555277999999996,1,1998,7.4555278
Brazil,3.2650000000000001,1,1998,3.265
Chile,-10,1,1998,0
Colombia,-10,1,1998,0
Ecuador,-10,1,1998,0
Peru,-10,1,1998,0
Trinidad and Tobago,-10,1,1998,0
Venezuela,-10,1,1998,0
Austria,-10,1,1998,0
Belgium,46.164999999999999,1,1998,46.165
Bulgaria,16.899000000000001,1,1998,16.899
Croatia,,1,1998,
Cyprus,-10,1,1998,0
Czech Republic,13.1786508,1,1998,13.1786508
Denmark,-10,1,1998,0
Estonia,-10,1,1998,0
Finland,22.079999999999998,1,1998,22.08
France,387.99000000000001,1,1998,387.99
Germany,161.59999999999999,1,1998,161.6
Greece,-10,1,1998,0
Hungary,13.949,1,1998,13.949
Iceland,-10,1,1998,0
Ireland,-10,1,1998,0
Italy,-10,1,1998,0
Latvia,-10,1,1998,0
Lithuania,13.554,1,1998,13.554
Luxembourg,-10,1,1998,0
Netherlands,3.809091,1,1998,3.809091
North Macedonia,,1,1998,
Norway,-10,1,1998,0
Poland,-10,1,1998,0
Portugal,-10,1,1998,0
Romania,5.3070000000000004,1,1998,5.307
Slovakia,11.394,1,1998,11.394
Slovenia,5.0190000000000001,1,1998,5.019
Spain,58.993000000000002,1,1998,58.993
Sweden,73.582999999999998,1,1998,73.583
Switzerland,25.650526320000001,1,1998,25.65052632
Turkey,-10,1,1998,0
Ukraine,75.239000000000004,1,1998,75.239
United Kingdom,99.485949169999998,1,1998,99.48594917
Azerbaijan,-10,1,1998,0
Belarus,-10,1,1998,0
Kazakhstan,0.088387999999999994,1,1998,0.088388
Russian Federation,103.71899999999999,1,1998,103.719
Turkmenistan,-10,1,1998,0
USSR,,1,1998,
Uzbekistan,-10,1,1998,0
Iran,-10,1,1998,0
Iraq,-10,1,1998,0
Israel,-10,1,1998,0
Kuwait,-10,1,1998,0
Oman,-10,1,1998,0
Qatar,-10,1,1998,0
Saudi Arabia,-10,1,1998,0
United Arab Emirates,-10,1,1998,0
Algeria,-10,1,1998,0
Egypt,-10,1,1998,0
Morocco,-10,1,1998,0
South Africa,13.60099945,1,1998,13.60099945
Eastern Africa,-10,1,1998,0
Australia,-10,1,1998,0
Bangladesh,-10,1,1998,0
China,14.102305400000001,1,1998,14.1023054
Hong Kong SAR,-10,1,1998,0
India,11.371116199999999,1,1998,11.3711162
Indonesia,-10,1,1998,0
Japan,325.97385500000001,1,1998,325.973855
Malaysia,-10,1,1998,0
New Zealand,-10,1,1998,0
Pakistan,0.39332660000000003,1,1998,0.3933266
Philippines,-10,1,1998,0
Singapore,-10,1,1998,0
South Korea,89.688972000000007,1,1998,89.688972
Sri Lanka,-10,1,1998,0
Taiwan,36.824465259999997,1,1998,36.82446526
Thailand,-10,1,1998,0
Vietnam,-10,1,1998,0
Canada,72.980000000000004,1,1999,72.98
Mexico,10.0055216,1,1999,10.0055216
US,766.58328840000001,1,1999,766.5832884
Argentina,7.1063951999999997,1,1999,7.1063952
Brazil,3.9769999999999999,1,1999,3.977
Chile,-10,1,1999,0
Colombia,-10,1,1999,0
Ecuador,-10,1,1999,0
Peru,-10,1,1999,0
Trinidad and Tobago,-10,1,1999,0
Venezuela,-10,1,1999,0
Austria,-10,1,1999,0
Belgium,49.017000000000003,1,1999,49.017
Bulgaria,15.814,1,1999,15.814
Croatia,,1,1999,
Cyprus,-10,1,1999,0
Czech Republic,13.3598462,1,1999,13.3598462
Denmark,-10,1,1999,0
Estonia,-10,1,1999,0
Finland,23.221052629999999,1,1999,23.22105263
France,394.24400000000003,1,1999,394.244
Germany,170.00399999999999,1,1999,170.004
Greece,-10,1,1999,0
Hungary,14.096,1,1999,14.096
Iceland,-10,1,1999,0
Ireland,-10,1,1999,0
Italy,-10,1,1999,0
Latvia,-10,1,1999,0
Lithuania,9.8620000000000001,1,1999,9.862
Luxembourg,-10,1,1999,0
Netherlands,3.8282129999999999,1,1999,3.828213
North Macedonia,,1,1999,
Norway,-10,1,1999,0
Poland,-10,1,1999,0
Portugal,-10,1,1999,0
Romania,5.1980000000000004,1,1999,5.198
Slovakia,13.117000000000001,1,1999,13.117
Slovenia,4.6959999999999997,1,1999,4.696
Spain,58.851999999999997,1,1999,58.852
Sweden,73.188000000000002,1,1999,73.188
Switzerland,24.761052630000002,1,1999,24.76105263
Turkey,-10,1,1999,0
Ukraine,72.064999999999998,1,1999,72.065
United Kingdom,95.132943440000005,1,1999,95.13294344
Azerbaijan,-10,1,1999,0
Belarus,-10,1,1999,0
Kazakhstan,-10,1,1999,0
Russian Federation,121.874,1,1999,121.874
Turkmenistan,-10,1,1999,0
USSR,,1,1999,
Uzbekistan,-10,1,1999,0
Iran,-10,1,1999,0
Iraq,-10,1,1999,0
Israel,-10,1,1999,0
Kuwait,-10,1,1999,0
Oman,-10,1,1999,0
Qatar,-10,1,1999,0
Saudi Arabia,-10,1,1999,0
United Arab Emirates,-10,1,1999,0
Algeria,-10,1,1999,0
Egypt,-10,1,1999,0
Morocco,-10,1,1999,0
South Africa,12.83699988,1,1999,12.83699988
Eastern Africa,-10,1,1999,0
Australia,-10,1,1999,0
Bangladesh,-10,1,1999,0
China,14.9508302,1,1999,14.9508302
Hong Kong SAR,-10,1,1999,0
India,12.727872,1,1999,12.727872
Indonesia,-10,1,1999,0
Japan,317.23492900000002,1,1999,317.234929
Malaysia,-10,1,1999,0
New Zealand,-10,1,1999,0
Pakistan,0.0795492,1,1999,0.0795492
Philippines,-10,1,1999,0
Singapore,-10,1,1999,0
South Korea,103.063779,1,1999,103.063779
Sri Lanka,-10,1,1999,0
Taiwan,38.415805200000001,1,1999,38.4158052
Thailand,-10,1,1999,0
Vietnam,-10,1,1999,0
Canada,72.293684209999995,1,2000,72.29368421
Mexico,8.2245033999999997,1,2000,8.2245034
US,793.57151580000004,1,2000,793.5715158
Argentina,6.1783212000000001,1,2000,6.1783212
Brazil,6.0460000000000003,1,2000,6.046
Chile,-10,1,2000,0
Colombia,-10,1,2000,0
Ecuador,-10,1,2000,0
Peru,-10,1,2000,0
Trinidad and Tobago,-10,1,2000,0
Venezuela,-10,1,2000,0
Austria,-10,1,2000,0
Belgium,48.156999999999996,1,2000,48.157
Bulgaria,18.178000000000001,1,2000,18.178
Croatia,,1,2000,
Cyprus,-10,1,2000,0
Czech Republic,13.5940744,1,2000,13.5940744
Denmark,-10,1,2000,0
Estonia,-10,1,2000,0
Finland,22.71052632,1,2000,22.71052632
France,415.16199999999998,1,2000,415.162
Germany,169.60599999999999,1,2000,169.606
Greece,-10,1,2000,0
Hungary,14.18,1,2000,14.18
Iceland,-10,1,2000,0
Ireland,-10,1,2000,0
Italy,-10,1,2000,0
Latvia,-10,1,2000,0
Lithuania,8.4190000000000005,1,2000,8.419
Luxembourg,-10,1,2000,0
Netherlands,3.9192080000000002,1,2000,3.919208
North Macedonia,,1,2000,
Norway,-10,1,2000,0
Poland,-10,1,2000,0
Portugal,-10,1,2000,0
Romania,5.4560000000000004,1,2000,5.456
Slovakia,16.494,1,2000,16.494
Slovenia,4.7610000000000001,1,2000,4.761
Spain,62.206000000000003,1,2000,62.206
Sweden,57.316000000000003,1,2000,57.316
Switzerland,26.262105259999998,1,2000,26.26210526
Turkey,-10,1,2000,0
Ukraine,77.340999999999994,1,2000,77.341
United Kingdom,85.062765720000002,1,2000,85.06276572
Azerbaijan,-10,1,2000,0
Belarus,-10,1,2000,0
Kazakhstan,-10,1,2000,0
Russian Federation,130.715,1,2000,130.715
Turkmenistan,-10,1,2000,0
USSR,,1,2000,
Uzbekistan,-10,1,2000,0
Iran,-10,1,2000,0
Iraq,-10,1,2000,0
Israel,-10,1,2000,0
Kuwait,-10,1,2000,0
Oman,-10,1,2000,0
Qatar,-10,1,2000,0
Saudi Arabia,-10,1,2000,0
United Arab Emirates,-10,1,2000,0
Algeria,-10,1,2000,0
Egypt,-10,1,2000,0
Morocco,-10,1,2000,0
South Africa,13.010000099999999,1,2000,13.0100001
Eastern Africa,-10,1,2000,0
Australia,-10,1,2000,0
Bangladesh,-10,1,2000,0
China,16.7406872,1,2000,16.7406872
Hong Kong SAR,-10,1,2000,0
India,15.7684192,1,2000,15.7684192
Indonesia,-10,1,2000,0
Japan,319.12157400000001,1,2000,319.121574
Malaysia,-10,1,2000,0
New Zealand,-10,1,2000,0
Pakistan,0.94575160000000003,1,2000,0.9457516
Philippines,-10,1,2000,0
Singapore,-10,1,2000,0
South Korea,108.96374,1,2000,108.96374
Sri Lanka,-10,1,2000,0
Taiwan,38.502790519999998,1,2000,38.50279052
Thailand,-10,1,2000,0
Vietnam,-10,1,2000,0
Canada,76.162105260000004,1,2001,76.16210526
Mexico,8.7283150000000003,1,2001,8.728315
US,809.29085050000003,1,2001,809.2908505
Argentina,7.0577817999999999,1,2001,7.0577818
Brazil,14.279,1,2001,14.279
Chile,-10,1,2001,0
Colombia,-10,1,2001,0
Ecuador,-10,1,2001,0
Peru,-10,1,2001,0
Trinidad and Tobago,-10,1,2001,0
Venezuela,-10,1,2001,0
Austria,-10,1,2001,0
Belgium,46.348999999999997,1,2001,46.349
Bulgaria,19.553000000000001,1,2001,19.553
Croatia,,1,2001,
Cyprus,-10,1,2001,0
Czech Republic,14.7493,1,2001,14.7493
Denmark,-10,1,2001,0
Estonia,-10,1,2001,0
Finland,23.004105259999999,1,2001,23.00410526
France,421.07600000000002,1,2001,421.076
Germany,171.30500000000001,1,2001,171.305
Greece,-10,1,2001,0
Hungary,14.125999999999999,1,2001,14.126
Iceland,-10,1,2001,0
Ireland,-10,1,2001,0
Italy,-10,1,2001,0
Latvia,-10,1,2001,0
Lithuania,11.362,1,2001,11.362
Luxembourg,-10,1,2001,0
Netherlands,3.9725709999999999,1,2001,3.972571
North Macedonia,,1,2001,
Norway,-10,1,2001,0
Poland,-10,1,2001,0
Portugal,-10,1,2001,0
Romania,5.4459999999999997,1,2001,5.446
Slovakia,17.103000000000002,1,2001,17.103
Slovenia,5.2569999999999997,1,2001,5.257
Spain,63.707999999999998,1,2001,63.708
Sweden,72.108999999999995,1,2001,72.109
Switzerland,26.624210529999999,1,2001,26.62421053
Turkey,-10,1,2001,0
Ukraine,76.168999999999997,1,2001,76.169
United Kingdom,90.092680450000003,1,2001,90.09268045
Azerbaijan,-10,1,2001,0
Belarus,-10,1,2001,0
Kazakhstan,-10,1,2001,0
Russian Federation,136.935,1,2001,136.935
Turkmenistan,-10,1,2001,0
USSR,,1,2001,
Uzbekistan,-10,1,2001,0
Iran,-10,1,2001,0
Iraq,-10,1,2001,0
Israel,-10,1,2001,0
Kuwait,-10,1,2001,0
Oman,-10,1,2001,0
Qatar,-10,1,2001,0
Saudi Arabia,-10,1,2001,0
United Arab Emirates,-10,1,2001,0
Algeria,-10,1,2001,0
Egypt,-10,1,2001,0
Morocco,-10,1,2001,0
South Africa,10.71899964,1,2001,10.71899964
Eastern Africa,-10,1,2001,0
Australia,-10,1,2001,0
Bangladesh,-10,1,2001,0
China,17.474307599999999,1,2001,17.4743076
Hong Kong SAR,-10,1,2001,0
India,18.888515600000002,1,2001,18.8885156
Indonesia,-10,1,2001,0
Japan,320.53802400000001,1,2001,320.538024
Malaysia,-10,1,2001,0
New Zealand,-10,1,2001,0
Pakistan,2.0859567999999999,1,2001,2.0859568
Philippines,-10,1,2001,0
Singapore,-10,1,2001,0
South Korea,112.133033,1,2001,112.133033
Sri Lanka,-10,1,2001,0
Taiwan,35.486422400000002,1,2001,35.4864224
Thailand,-10,1,2001,0
Vietnam,-10,1,2001,0
Canada,75.0,1,2002,75
Mexico,9.7466211200000004,1,2002,9.74662112
US,821.12009160000002,1,2002,821.1200916
Argentina,5.8203497999999998,1,2002,5.8203498
Brazil,13.836,1,2002,13.836
Chile,-10,1,2002,0
Colombia,-10,1,2002,0
Ecuador,-10,1,2002,0
Peru,-10,1,2002,0
Trinidad and Tobago,-10,1,2002,0
Venezuela,-10,1,2002,0
Austria,-10,1,2002,0
Belgium,47.359999999999999,1,2002,47.36
Bulgaria,20.222000000000001,1,2002,20.222
Croatia,,1,2002,
Cyprus,-10,1,2002,0
Czech Republic,18.738199999999999,1,2002,18.7382
Denmark,-10,1,2002,0
Estonia,-10,1,2002,0
Finland,22.52084211,1,2002,22.52084211
France,436.75999999999999,1,2002,436.76
Germany,164.84200000000001,1,2002,164.842
Greece,-10,1,2002,0
Hungary,13.952999999999999,1,2002,13.953
Iceland,-10,1,2002,0
Ireland,-10,1,2002,0
Italy,-10,1,2002,0
Latvia,-10,1,2002,0
Lithuania,14.141999999999999,1,2002,14.142
Luxembourg,-10,1,2002,0
Netherlands,3.9135400000000002,1,2002,3.91354
North Macedonia,,1,2002,
Norway,-10,1,2002,0
Poland,-10,1,2002,0
Portugal,-10,1,2002,0
Romania,5.5129999999999999,1,2002,5.513
Slovakia,17.952999999999999,1,2002,17.953
Slovenia,5.5280000000000005,1,2002,5.528
Spain,63.015999999999998,1,2002,63.016
Sweden,68.111000000000004,1,2002,68.111
Switzerland,27.044210530000001,1,2002,27.04421053
Turkey,-10,1,2002,0
Ukraine,77.989999999999995,1,2002,77.99
United Kingdom,87.848379269999995,1,2002,87.84837927
Azerbaijan,-10,1,2002,0
Belarus,-10,1,2002,0
Kazakhstan,-10,1,2002,0
Russian Federation,141.62899999999999,1,2002,141.629
Turkmenistan,-10,1,2002,0
USSR,,1,2002,
Uzbekistan,-10,1,2002,0
Iran,-10,1,2002,0
Iraq,-10,1,2002,0
Israel,-10,1,2002,0
Kuwait,-10,1,2002,0
Oman,-10,1,2002,0
Qatar,-10,1,2002,0
Saudi Arabia,-10,1,2002,0
United Arab Emirates,-10,1,2002,0
Algeria,-10,1,2002,0
Egypt,-10,1,2002,0
Morocco,-10,1,2002,0
South Africa,11.99099944,1,2002,11.99099944
Eastern Africa,-10,1,2002,0
Australia,-10,1,2002,0
Bangladesh,-10,1,2002,0
China,25.1331278,1,2002,25.1331278
Hong Kong SAR,-10,1,2002,0
India,19.352552599999999,1,2002,19.3525526
Indonesia,-10,1,2002,0
Japan,314.25837000000001,1,2002,314.25837
Malaysia,-10,1,2002,0
New Zealand,-10,1,2002,0
Pakistan,1.8959226,1,2002,1.8959226
Philippines,-10,1,2002,0
Singapore,-10,1,2002,0
South Korea,119.10290500000001,1,2002,119.102905
Sri Lanka,-10,1,2002,0
Taiwan,39.552920469999997,1,2002,39.55292047
Thailand,-10,1,2002,0
Vietnam,-10,1,2002,0
Canada,74.37157895,1,2003,74.37157895
Mexico,10.50150777,1,2003,10.50150777
US,803.92915259999995,1,2003,803.9291526
Argentina,7.5660128000000002,1,2003,7.5660128
Brazil,13.358000000000001,1,2003,13.358
Chile,-10,1,2003,0
Colombia,-10,1,2003,0
Ecuador,-10,1,2003,0
Peru,-10,1,2003,0
Trinidad and Tobago,-10,1,2003,0
Venezuela,-10,1,2003,0
Austria,-10,1,2003,0
Belgium,47.378999999999998,1,2003,47.379
Bulgaria,17.280000000000001,1,2003,17.28
Croatia,,1,2003,
Cyprus,-10,1,2003,0
Czech Republic,25.8719,1,2003,25.8719
Denmark,-10,1,2003,0
Estonia,-10,1,2003,0
Finland,22.978842109999999,1,2003,22.97884211
France,441.06999999999999,1,2003,441.07
Germany,165.06,1,2003,165.06
Greece,-10,1,2003,0
Hungary,11.013,1,2003,11.013
Iceland,-10,1,2003,0
Ireland,-10,1,2003,0
Italy,-10,1,2003,0
Latvia,-10,1,2003,0
Lithuania,15.484,1,2003,15.484
Luxembourg,-10,1,2003,0
Netherlands,4.017989,1,2003,4.017989
North Macedonia,,1,2003,
Norway,-10,1,2003,0
Poland,-10,1,2003,0
Portugal,-10,1,2003,0
Romania,4.9059999999999997,1,2003,4.906
Slovakia,17.867634200000001,1,2003,17.8676342
Slovenia,5.2069999999999999,1,2003,5.207
Spain,61.875,1,2003,61.875
Sweden,67.415000000000006,1,2003,67.415
Switzerland,27.295789469999999,1,2003,27.29578947
Turkey,-10,1,2003,0
Ukraine,81.406000000000006,1,2003,81.406
United Kingdom,88.686265910000003,1,2003,88.68626591
Azerbaijan,-10,1,2003,0
Belarus,-10,1,2003,0
Kazakhstan,-10,1,2003,0
Russian Federation,150.34200000000001,1,2003,150.342
Turkmenistan,-10,1,2003,0
USSR,,1,2003,
Uzbekistan,-10,1,2003,0
Iran,-10,1,2003,0
Iraq,-10,1,2003,0
Israel,-10,1,2003,0
Kuwait,-10,1,2003,0
Oman,-10,1,2003,0
Qatar,-10,1,2003,0
Saudi Arabia,-10,1,2003,0
United Arab Emirates,-10,1,2003,0
Algeria,-10,1,2003,0
Egypt,-10,1,2003,0
Morocco,-10,1,2003,0
South Africa,12.66299922,1,2003,12.66299922
Eastern Africa,-10,1,2003,0
Australia,-10,1,2003,0
Bangladesh,-10,1,2003,0
China,43.349894599999999,1,2003,43.3498946
Hong Kong SAR,-10,1,2003,0
India,18.141636999999999,1,2003,18.141637
Indonesia,-10,1,2003,0
Japan,230.077674,1,2003,230.077674
Malaysia,-10,1,2003,0
New Zealand,-10,1,2003,0
Pakistan,1.9047613999999999,1,2003,1.9047614
Philippines,-10,1,2003,0
Singapore,-10,1,2003,0
South Korea,129.671763,1,2003,129.671763
Sri Lanka,-10,1,2003,0
Taiwan,38.891574599999998,1,2003,38.8915746
Thailand,-10,1,2003,0
Vietnam,-10,1,2003,0
Canada,89.757894739999998,1,2004,89.75789474
Mexico,9.1939353560000008,1,2004,9.193935356
US,830.02988110000001,1,2004,830.0298811
Argentina,7.8797902000000004,1,2004,7.8797902
Brazil,11.611000000000001,1,2004,11.611
Chile,-10,1,2004,0
Colombia,-10,1,2004,0
Ecuador,-10,1,2004,0
Peru,-10,1,2004,0
Trinidad and Tobago,-10,1,2004,0
Venezuela,-10,1,2004,0
Austria,-10,1,2004,0
Belgium,47.311999999999998,1,2004,47.312
Bulgaria,16.815000000000001,1,2004,16.815
Croatia,,1,2004,
Cyprus,-10,1,2004,0
Czech Republic,26.3247,1,2004,26.3247
Denmark,-10,1,2004,0
Estonia,-10,1,2004,0
Finland,22.962,1,2004,22.962
France,448.24099999999999,1,2004,448.241
Germany,167.065,1,2004,167.065
Greece,-10,1,2004,0
Hungary,11.914999999999999,1,2004,11.915
Iceland,-10,1,2004,0
Ireland,-10,1,2004,0
Italy,-10,1,2004,0
Latvia,-10,1,2004,0
Lithuania,15.101599999999999,1,2004,15.1016
Luxembourg,-10,1,2004,0
Netherlands,3.8220179999999999,1,2004,3.822018
North Macedonia,,1,2004,
Norway,-10,1,2004,0
Poland,-10,1,2004,0
Portugal,-10,1,2004,0
Romania,5.548,1,2004,5.548
Slovakia,17.026,1,2004,17.026
Slovenia,5.4589999999999996,1,2004,5.459
Spain,63.606000000000002,1,2004,63.606
Sweden,77.671000000000006,1,2004,77.671
Switzerland,26.770526319999998,1,2004,26.77052632
Turkey,-10,1,2004,0
Ukraine,87.022000000000006,1,2004,87.022
United Kingdom,79.999105639999996,1,2004,79.99910564
Azerbaijan,-10,1,2004,0
Belarus,-10,1,2004,0
Kazakhstan,-10,1,2004,0
Russian Federation,144.70699999999999,1,2004,144.707
Turkmenistan,-10,1,2004,0
USSR,,1,2004,
Uzbekistan,-10,1,2004,0
Iran,-10,1,2004,0
Iraq,-10,1,2004,0
Israel,-10,1,2004,0
Kuwait,-10,1,2004,0
Oman,-10,1,2004,0
Qatar,-10,1,2004,0
Saudi Arabia,-10,1,2004,0
United Arab Emirates,-10,1,2004,0
Algeria,-10,1,2004,0
Egypt,-10,1,2004,0
Morocco,-10,1,2004,0
South Africa,13.36512271,1,2004,13.36512271
Eastern Africa,-10,1,2004,0
Australia,-10,1,2004,0
Bangladesh,-10,1,2004,0
China,50.469000000000001,1,2004,50.469
Hong Kong SAR,-10,1,2004,0
India,16.762784199999999,1,2004,16.7627842
Indonesia,-10,1,2004,0
Japan,285.86556200000001,1,2004,285.865562
Malaysia,-10,1,2004,0
New Zealand,-10,1,2004,0
Pakistan,2.4174118,1,2004,2.4174118
Philippines,-10,1,2004,0
Singapore,-10,1,2004,0
South Korea,130.71481600000001,1,2004,130.714816
Sri Lanka,-10,1,2004,0
Taiwan,39.490065000000001,1,2004,39.490065
Thailand,-10,1,2004,0
Vietnam,-10,1,2004,0
Canada,91.400000000000006,1,2005,91.4
Mexico,10.804906040000001,1,2005,10.80490604
US,823.14354209999999,1,2005,823.1435421
Argentina,6.8677475999999995,1,2005,6.8677476
Brazil,9.8550000000000004,1,2005,9.855
Chile,-10,1,2005,0
Colombia,-10,1,2005,0
Ecuador,-10,1,2005,0
Peru,-10,1,2005,0
Trinidad and Tobago,-10,1,2005,0
Venezuela,-10,1,2005,0
Austria,-10,1,2005,0
Belgium,47.594999999999999,1,2005,47.595
Bulgaria,18.652999999999999,1,2005,18.653
Croatia,,1,2005,
Cyprus,-10,1,2005,0
Czech Republic,24.727599999999999,1,2005,24.7276
Denmark,-10,1,2005,0
Estonia,-10,1,2005,0
Finland,23.532947369999999,1,2005,23.53294737
France,451.529,1,2005,451.529
Germany,163.03899999999999,1,2005,163.039
Greece,-10,1,2005,0
Hungary,13.834,1,2005,13.834
Iceland,-10,1,2005,0
Ireland,-10,1,2005,0
Italy,-10,1,2005,0
Latvia,-10,1,2005,0
Lithuania,10.3376,1,2005,10.3376
Luxembourg,-10,1,2005,0
Netherlands,3.9974560000000001,1,2005,3.997456
North Macedonia,,1,2005,
