Number of Records,Oil_Year,Oil_Value,Countries
1,01/01/1974,9.37863074,Eastern Africa
1,01/01/1974,30.243780166,Australia
1,01/01/1974,1.002542085,Bangladesh
1,01/01/1974,62.688995534,China
1,01/01/1974,5.028040675,China Hong Kong SAR
1,01/01/1974,23.348491927,India
1,01/01/1974,9.735145672,Indonesia
1,01/01/1974,257.592265955,Japan
1,01/01/1974,4.187127304,Malaysia
1,01/01/1974,4.601864007,New Zealand
1,01/01/1974,4.014486481,Pakistan
1,01/01/1974,9.141801304,Philippines
1,01/01/1974,7.566352752,Singapore
1,01/01/1974,12.681680376,South Korea
1,01/01/1974,0.851033384,Sri Lanka
1,01/01/1974,9.23328363,Taiwan
1,01/01/1974,7.809115291,Thailand
1,01/01/1974,3.326415966,Vietnam
1,01/01/1975,83.521311288,Canada
1,01/01/1975,33.896052618,Mexico
1,01/01/1975,803.778663488,US
1,01/01/1975,22.866746919,Argentina
1,01/01/1975,44.630367781,Brazil
1,01/01/1975,4.512847951,Chile
1,01/01/1975,6.950782077,Colombia
1,01/01/1975,1.560409525,Ecuador
1,01/01/1975,6.071989109,Peru
1,01/01/1975,2.792910863,Trinidad & Tobago
1,01/01/1975,14.034908745,Venezuela
1,01/01/1975,10.882137408,Austria
1,01/01/1975,25.923450559,Belgium
1,01/01/1975,12.120456315,Bulgaria
1,01/01/1975,,Croatia
1,01/01/1975,0.733467756,Cyprus
1,01/01/1975,10.846488822,Czech Republic
1,01/01/1975,16.020601701,Denmark
1,01/01/1975,,Estonia
1,01/01/1975,12.122884876,Finland
1,01/01/1975,112.45701605,France
1,01/01/1975,146.030100148,Germany
1,01/01/1975,10.081518152,Greece
1,01/01/1975,10.274418673,Hungary
1,01/01/1975,0.598487556,Iceland
1,01/01/1975,5.315145983,Ireland
1,01/01/1975,95.621138029,Italy
1,01/01/1975,,Latvia
1,01/01/1975,,Lithuania
1,01/01/1975,1.342399804,Luxembourg
1,01/01/1975,35.467385856,Netherlands
1,01/01/1975,,North Macedonia
1,01/01/1975,8.274527276,Norway
1,01/01/1975,13.772381676,Poland
1,01/01/1975,6.992940748,Portugal
1,01/01/1975,13.974714269,Romania
1,01/01/1975,6.233815205,Slovakia
1,01/01/1975,,Slovenia
1,01/01/1975,42.984072131,Spain
1,01/01/1975,25.923017062,Sweden
1,01/01/1975,12.907633061,Switzerland
1,01/01/1975,12.6189727,Turkey
1,01/01/1975,,Ukraine
1,01/01/1975,93.915698099,United Kingdom
1,01/01/1975,,Azerbaijan
1,01/01/1975,,Belarus
1,01/01/1975,,Kazakhstan
1,01/01/1975,,Russian Federation
1,01/01/1975,,Turkmenistan
1,01/01/1975,355.511294146,USSR
1,01/01/1975,,Uzbekistan
1,01/01/1975,22.446854167,Iran
1,01/01/1975,3.148333659,Iraq
1,01/01/1975,5.878623364,Israel
1,01/01/1975,3.658265549,Kuwait
1,01/01/1975,1.109604232,Oman
1,01/01/1975,0.233387599,Qatar
1,01/01/1975,19.562842049,Saudi Arabia
1,01/01/1975,0.659863141,United Arab Emirates
1,01/01/1975,3.493608555,Algeria
1,01/01/1975,8.341600387,Egypt
1,01/01/1975,2.891088564,Morocco
1,01/01/1975,12.08553062,South Africa
1,01/01/1975,9.015771613,Eastern Africa
1,01/01/1975,29.931600984,Australia
1,01/01/1975,1.172123388,Bangladesh
1,01/01/1975,69.138282865,China
1,01/01/1975,4.734076813,China Hong Kong SAR
1,01/01/1975,23.91167966,India
1,01/01/1975,11.164949699,Indonesia
1,01/01/1975,243.087934461,Japan
1,01/01/1975,4.41705931,Malaysia
1,01/01/1975,4.426563133,New Zealand
1,01/01/1975,4.168592338,Pakistan
1,01/01/1975,9.861391755,Philippines
1,01/01/1975,7.392186037,Singapore
1,01/01/1975,14.374378356,South Korea
1,01/01/1975,0.823498462,Sri Lanka
1,01/01/1975,10.700053287,Taiwan
1,01/01/1975,8.466359869,Thailand
1,01/01/1975,3.172972188,Vietnam
1,01/01/1976,88.116198218,Canada
1,01/01/1976,37.33760385,Mexico
1,01/01/1976,862.804384329,US
1,01/01/1976,23.754230701,Argentina
1,01/01/1976,48.272832091,Brazil
1,01/01/1976,4.784275891,Chile
1,01/01/1976,7.329684628,Colombia
1,01/01/1976,1.763537332,Ecuador
1,01/01/1976,6.124649613,Peru
1,01/01/1976,3.140550014,Trinidad & Tobago
1,01/01/1976,13.936921686,Venezuela
1,01/01/1976,11.815247707,Austria
1,01/01/1976,27.040626111,Belgium
1,01/01/1976,12.595566113,Bulgaria
1,01/01/1976,,Croatia
1,01/01/1976,0.745748877,Cyprus
1,01/01/1976,11.464442987,Czech Republic
1,01/01/1976,17.045600291,Denmark
1,01/01/1976,,Estonia
1,01/01/1976,13.006355236,Finland
1,01/01/1976,121.64951488,France
1,01/01/1976,157.777556177,Germany
1,01/01/1976,10.730214603,Greece
1,01/01/1976,10.763218377,Hungary
1,01/01/1976,0.601296432,Iceland
1,01/01/1976,5.398321988,Ireland
1,01/01/1976,99.923549608,Italy
1,01/01/1976,,Latvia
1,01/01/1976,,Lithuania
1,01/01/1976,1.453759076,Luxembourg
1,01/01/1976,39.914740709,Netherlands
1,01/01/1976,,North Macedonia
1,01/01/1976,9.152272547,Norway
1,01/01/1976,15.202258073,Poland
1,01/01/1976,7.324930033,Portugal
1,01/01/1976,15.591662152,Romania
1,01/01/1976,6.58974594,Slovakia
1,01/01/1976,,Slovenia
1,01/01/1976,48.755653458,Spain
1,01/01/1976,28.583505082,Sweden
1,01/01/1976,13.414977095,Switzerland
1,01/01/1976,14.254160242,Turkey
1,01/01/1976,,Ukraine
1,01/01/1976,93.365617393,United Kingdom
1,01/01/1976,,Azerbaijan
1,01/01/1976,,Belarus
1,01/01/1976,,Kazakhstan
1,01/01/1976,,Russian Federation
1,01/01/1976,,Turkmenistan
1,01/01/1976,365.315616224,USSR
1,01/01/1976,,Uzbekistan
1,01/01/1976,25.401353228,Iran
1,01/01/1976,3.929387902,Iraq
1,01/01/1976,6.210972222,Israel
1,01/01/1976,4.25511135,Kuwait
1,01/01/1976,1.277420225,Oman
1,01/01/1976,0.321344822,Qatar
1,01/01/1976,22.786075238,Saudi Arabia
1,01/01/1976,0.969495796,United Arab Emirates
1,01/01/1976,4.017001935,Algeria
1,01/01/1976,9.851837561,Egypt
1,01/01/1976,3.157064393,Morocco
1,01/01/1976,12.220100363,South Africa
1,01/01/1976,9.025223866,Eastern Africa
1,01/01/1976,30.595140609,Australia
1,01/01/1976,1.268175002,Bangladesh
1,01/01/1976,79.035803549,China
1,01/01/1976,5.588816328,China Hong Kong SAR
1,01/01/1976,25.215708799,India
1,01/01/1976,12.028945686,Indonesia
1,01/01/1976,252.818711331,Japan
1,01/01/1976,4.927401592,Malaysia
1,01/01/1976,4.564575872,New Zealand
1,01/01/1976,4.169862807,Pakistan
1,01/01/1976,10.132310786,Philippines
1,01/01/1976,8.766355546,Singapore
1,01/01/1976,16.136854638,South Korea
1,01/01/1976,0.817168787,Sri Lanka
1,01/01/1976,13.835049799,Taiwan
1,01/01/1976,8.914080133,Thailand
1,01/01/1976,0.827494379,Vietnam
1,01/01/1977,88.927907997,Canada
1,01/01/1977,38.538533367,Mexico
1,01/01/1977,910.722562806,US
1,01/01/1977,25.042101939,Argentina
1,01/01/1977,49.620615545,Brazil
1,01/01/1977,4.901388077,Chile
1,01/01/1977,7.353104829,Colombia
1,01/01/1977,2.200725327,Ecuador
1,01/01/1977,6.104314273,Peru
1,01/01/1977,3.065804576,Trinidad & Tobago
1,01/01/1977,15.620293261,Venezuela
1,01/01/1977,11.314405895,Austria
1,01/01/1977,26.595849599,Belgium
1,01/01/1977,13.094298581,Bulgaria
1,01/01/1977,,Croatia
1,01/01/1977,0.842388961,Cyprus
1,01/01/1977,11.994092338,Czech Republic
1,01/01/1977,17.023410815,Denmark
1,01/01/1977,,Estonia
1,01/01/1977,12.746151787,Finland
1,01/01/1977,116.837350435,France
1,01/01/1977,155.835384542,Germany
1,01/01/1977,10.932156229,Greece
1,01/01/1977,11.443768296,Hungary
1,01/01/1977,0.628860562,Iceland
1,01/01/1977,5.757202923,Ireland
1,01/01/1977,97.170144096,Italy
1,01/01/1977,,Latvia
1,01/01/1977,,Lithuania
1,01/01/1977,1.430123197,Luxembourg
1,01/01/1977,38.307775771,Netherlands
1,01/01/1977,,North Macedonia
1,01/01/1977,9.016282435,Norway
1,01/01/1977,16.267954786,Poland
1,01/01/1977,7.247185585,Portugal
1,01/01/1977,16.844561789,Romania
1,01/01/1977,6.894705025,Slovakia
1,01/01/1977,,Slovenia
1,01/01/1977,46.032235,Spain
1,01/01/1977,27.715434477,Sweden
1,01/01/1977,13.484499307,Switzerland
1,01/01/1977,16.140347855,Turkey
1,01/01/1977,,Ukraine
1,01/01/1977,94.147406086,United Kingdom
1,01/01/1977,,Azerbaijan
1,01/01/1977,,Belarus
1,01/01/1977,,Kazakhstan
1,01/01/1977,,Russian Federation
1,01/01/1977,,Turkmenistan
1,01/01/1977,379.944080531,USSR
1,01/01/1977,,Uzbekistan
1,01/01/1977,29.491730412,Iran
1,01/01/1977,4.587156251,Iraq
1,01/01/1977,6.493500119,Israel
1,01/01/1977,4.116791105,Kuwait
1,01/01/1977,1.230625012,Oman
1,01/01/1977,0.423934532,Qatar
1,01/01/1977,26.36724054,Saudi Arabia
1,01/01/1977,1.433920894,United Arab Emirates
1,01/01/1977,4.540541153,Algeria
1,01/01/1977,10.521966562,Egypt
1,01/01/1977,3.560021496,Morocco
1,01/01/1977,12.101305556,South Africa
1,01/01/1977,9.194776747,Eastern Africa
1,01/01/1977,32.037898323,Australia
1,01/01/1977,1.248736553,Bangladesh
1,01/01/1977,83.494558398,China
1,01/01/1977,6.03631905,China Hong Kong SAR
1,01/01/1977,27.088911054,India
1,01/01/1977,14.183822084,Indonesia
1,01/01/1977,257.752024482,Japan
1,01/01/1977,5.601628101,Malaysia
1,01/01/1977,4.570573245,New Zealand
1,01/01/1977,4.389762707,Pakistan
1,01/01/1977,11.067330348,Philippines
1,01/01/1977,8.798291894,Singapore
1,01/01/1977,19.226996895,South Korea
1,01/01/1977,0.867144423,Sri Lanka
1,01/01/1977,15.304647511,Taiwan
1,01/01/1977,10.015487174,Thailand
1,01/01/1977,0.81974755,Vietnam
1,01/01/1978,90.714030811,Canada
1,01/01/1978,43.389461803,Mexico
1,01/01/1978,899.991113819,US
1,01/01/1978,25.041189357,Argentina
1,01/01/1978,54.411535327,Brazil
1,01/01/1978,5.361747779,Chile
1,01/01/1978,7.506756186,Colombia
1,01/01/1978,2.25044989,Ecuador
1,01/01/1978,6.026970192,Peru
1,01/01/1978,2.758620139,Trinidad & Tobago
1,01/01/1978,16.347898748,Venezuela
1,01/01/1978,12.172802833,Austria
1,01/01/1978,28.379236601,Belgium
1,01/01/1978,13.482188378,Bulgaria
1,01/01/1978,,Croatia
1,01/01/1978,0.863670273,Cyprus
1,01/01/1978,12.412164278,Czech Republic
1,01/01/1978,16.983762205,Denmark
1,01/01/1978,,Estonia
1,01/01/1978,12.821294425,Finland
1,01/01/1978,121.758603898,France
1,01/01/1978,162.534660982,Germany
1,01/01/1978,11.903412296,Greece
1,01/01/1978,12.658048916,Hungary
1,01/01/1978,0.662648705,Iceland
1,01/01/1978,6.181732875,Ireland
1,01/01/1978,102.035742429,Italy
1,01/01/1978,,Latvia
1,01/01/1978,,Lithuania
1,01/01/1978,1.440237962,Luxembourg
1,01/01/1978,39.138730795,Netherlands
1,01/01/1978,,North Macedonia
1,01/01/1978,10.030638937,Norway
1,01/01/1978,17.396721291,Poland
1,01/01/1978,7.51088757,Portugal
1,01/01/1978,18.733939094,Romania
1,01/01/1978,7.134873579,Slovakia
1,01/01/1978,,Slovenia
1,01/01/1978,47.402272858,Spain
1,01/01/1978,33.453276052,Sweden
1,01/01/1978,13.827959635,Switzerland
1,01/01/1978,17.289298605,Turkey
1,01/01/1978,,Ukraine
1,01/01/1978,96.582863356,United Kingdom
1,01/01/1978,,Azerbaijan
1,01/01/1978,,Belarus
1,01/01/1978,,Kazakhstan
1,01/01/1978,,Russian Federation
1,01/01/1978,,Turkmenistan
1,01/01/1978,403.190490732,USSR
1,01/01/1978,,Uzbekistan
1,01/01/1978,29.587533104,Iran
1,01/01/1978,4.303633531,Iraq
1,01/01/1978,6.924956506,Israel
1,01/01/1978,4.418047268,Kuwait
1,01/01/1978,1.170847067,Oman
1,01/01/1978,0.414515095,Qatar
1,01/01/1978,28.495634569,Saudi Arabia
1,01/01/1978,1.566080061,United Arab Emirates
1,01/01/1978,4.695438067,Algeria
1,01/01/1978,10.894071343,Egypt
1,01/01/1978,3.818253463,Morocco
1,01/01/1978,12.710007524,South Africa
1,01/01/1978,9.023844868,Eastern Africa
1,01/01/1978,32.271196576,Australia
1,01/01/1978,1.32933116,Bangladesh
1,01/01/1978,92.574108149,China
1,01/01/1978,6.273319313,China Hong Kong SAR
1,01/01/1978,29.438909382,India
1,01/01/1978,15.653811813,Indonesia
1,01/01/1978,266.163519227,Japan
1,01/01/1978,6.066427886,Malaysia
1,01/01/1978,4.34793793,New Zealand
1,01/01/1978,4.631603301,Pakistan
1,01/01/1978,11.413430544,Philippines
1,01/01/1978,9.055893308,Singapore
1,01/01/1978,21.986062673,South Korea
1,01/01/1978,1.008710358,Sri Lanka
1,01/01/1978,17.935711594,Taiwan
1,01/01/1978,11.225949771,Thailand
1,01/01/1978,0.993760744,Vietnam
1,01/01/1979,94.460077338,Canada
1,01/01/1979,46.564257153,Mexico
1,01/01/1979,881.125239969,US
1,01/01/1979,26.487415066,Argentina
1,01/01/1979,57.524742979,Brazil
1,01/01/1979,5.411489777,Chile
1,01/01/1979,7.961214388,Colombia
1,01/01/1979,2.396690766,Ecuador
1,01/01/1979,6.284750717,Peru
1,01/01/1979,2.123348691,Trinidad & Tobago
1,01/01/1979,17.540301556,Venezuela
1,01/01/1979,12.674871955,Austria
1,01/01/1979,28.204415162,Belgium
1,01/01/1979,13.891653458,Bulgaria
1,01/01/1979,,Croatia
1,01/01/1979,0.87642591,Cyprus
1,01/01/1979,12.614775986,Czech Republic
1,01/01/1979,16.245721888,Denmark
1,01/01/1979,,Estonia
1,01/01/1979,13.575479531,Finland
1,01/01/1979,121.121413156,France
1,01/01/1979,167.665777348,Germany
1,01/01/1979,12.590323135,Greece
1,01/01/1979,11.926896317,Hungary
1,01/01/1979,0.64340181,Iceland
1,01/01/1979,6.488551471,Ireland
1,01/01/1979,105.412258121,Italy
1,01/01/1979,,Latvia
1,01/01/1979,,Lithuania
1,01/01/1979,1.33492837,Luxembourg
1,01/01/1979,42.1704051,Netherlands
1,01/01/1979,,North Macedonia
1,01/01/1979,9.975397463,Norway
1,01/01/1979,17.738379001,Poland
1,01/01/1979,8.033493622,Portugal
1,01/01/1979,19.928013184,Romania
1,01/01/1979,7.251490351,Slovakia
1,01/01/1979,,Slovenia
1,01/01/1979,50.241328031,Spain
1,01/01/1979,36.014311665,Sweden
1,01/01/1979,13.253344774,Switzerland
1,01/01/1979,15.399270254,Turkey
1,01/01/1979,,Ukraine
1,01/01/1979,97.449345323,United Kingdom
1,01/01/1979,,Azerbaijan
1,01/01/1979,,Belarus
1,01/01/1979,,Kazakhstan
1,01/01/1979,,Russian Federation
1,01/01/1979,,Turkmenistan
1,01/01/1979,410.261699982,USSR
1,01/01/1979,,Uzbekistan
1,01/01/1979,31.106879448,Iran
1,01/01/1979,5.187368536,Iraq
1,01/01/1979,7.596047411,Israel
1,01/01/1979,4.936086629,Kuwait
1,01/01/1979,1.21098254,Oman
1,01/01/1979,0.448784704,Qatar
1,01/01/1979,34.447832054,Saudi Arabia
1,01/01/1979,2.137625394,United Arab Emirates
1,01/01/1979,5.616390131,Algeria
1,01/01/1979,11.946644502,Egypt
1,01/01/1979,4.330300659,Morocco
1,01/01/1979,12.045561503,South Africa
1,01/01/1979,9.194812185,Eastern Africa
1,01/01/1979,32.829541313,Australia
1,01/01/1979,1.471396102,Bangladesh
1,01/01/1979,92.803054361,China
1,01/01/1979,6.424457366,China Hong Kong SAR
1,01/01/1979,31.768938593,India
1,01/01/1979,17.073853396,Indonesia
1,01/01/1979,269.20364283,Japan
1,01/01/1979,7.368521582,Malaysia
1,01/01/1979,4.397635226,New Zealand
1,01/01/1979,4.947861493,Pakistan
1,01/01/1979,11.777352608,Philippines
1,01/01/1979,9.658252675,Singapore
1,01/01/1979,24.736394764,South Korea
1,01/01/1979,1.037782489,Sri Lanka
1,01/01/1979,18.021487413,Taiwan
1,01/01/1979,11.37313693,Thailand
1,01/01/1979,1.14826572,Vietnam
1,01/01/1980,93.003094511,Canada
1,01/01/1980,51.906224627,Mexico
1,01/01/1980,816.377656812,US
1,01/01/1980,24.785754562,Argentina
1,01/01/1980,55.819699063,Brazil
1,01/01/1980,5.476937375,Chile
1,01/01/1980,7.602475339,Colombia
1,01/01/1980,3.071896532,Ecuador
1,01/01/1980,6.771468544,Peru
1,01/01/1980,1.679686563,Trinidad & Tobago
1,01/01/1980,21.231965824,Venezuela
1,01/01/1980,12.372093628,Austria
1,01/01/1980,26.068158259,Belgium
1,01/01/1980,14.189210734,Bulgaria
1,01/01/1980,,Croatia
1,01/01/1980,0.883806105,Cyprus
1,01/01/1980,11.732203998,Czech Republic
1,01/01/1980,13.871992214,Denmark
1,01/01/1980,,Estonia
1,01/01/1980,13.072153411,Finland
1,01/01/1980,112.5549122,France
1,01/01/1980,151.706262492,Germany
1,01/01/1980,12.465416093,Greece
1,01/01/1980,11.59421434,Hungary
1,01/01/1980,0.598637241,Iceland
1,01/01/1980,5.84451328,Ireland
1,01/01/1980,100.075773694,Italy
1,01/01/1980,,Latvia
1,01/01/1980,,Lithuania
1,01/01/1980,1.116786711,Luxembourg
1,01/01/1980,39.438990924,Netherlands
1,01/01/1980,,North Macedonia
1,01/01/1980,9.637532005,Norway
1,01/01/1980,17.519262778,Poland
1,01/01/1980,8.599551309,Portugal
1,01/01/1980,18.864262181,Romania
1,01/01/1980,6.744056224,Slovakia
1,01/01/1980,,Slovenia
1,01/01/1980,53.195904199,Spain
1,01/01/1980,31.782129645,Sweden
1,01/01/1980,13.243327864,Switzerland
1,01/01/1980,15.709516695,Turkey
1,01/01/1980,,Ukraine
1,01/01/1980,83.329661412,United Kingdom
1,01/01/1980,,Azerbaijan
1,01/01/1980,,Belarus
1,01/01/1980,,Kazakhstan
1,01/01/1980,,Russian Federation
1,01/01/1980,,Turkmenistan
1,01/01/1980,430.068936311,USSR
1,01/01/1980,,Uzbekistan
1,01/01/1980,28.627853751,Iran
1,01/01/1980,6.96043058,Iraq
1,01/01/1980,8.126738703,Israel
1,01/01/1980,4.250427964,Kuwait
1,01/01/1980,0.911224443,Oman
1,01/01/1980,0.732940933,Qatar
1,01/01/1980,28.165376745,Saudi Arabia
1,01/01/1980,5.185660194,United Arab Emirates
1,01/01/1980,5.692384351,Algeria
1,01/01/1980,13.383453425,Egypt
1,01/01/1980,4.3871333,Morocco
1,01/01/1980,12.387976163,South Africa
1,01/01/1980,9.527273725,Eastern Africa
1,01/01/1980,31.486250772,Australia
1,01/01/1980,1.658727668,Bangladesh
1,01/01/1980,86.992352073,China
1,01/01/1980,6.566858508,China Hong Kong SAR
1,01/01/1980,32.400359129,India
1,01/01/1980,19.105189023,Indonesia
1,01/01/1980,240.557017794,Japan
1,01/01/1980,8.33154837,Malaysia
1,01/01/1980,4.258554166,New Zealand
1,01/01/1980,5.167879789,Pakistan
1,01/01/1980,11.044225781,Philippines
1,01/01/1980,9.590414589,Singapore
1,01/01/1980,24.504087943,South Korea
1,01/01/1980,1.046207418,Sri Lanka
1,01/01/1980,18.724698027,Taiwan
1,01/01/1980,11.838277372,Thailand
1,01/01/1980,2.003714951,Vietnam
1,01/01/1981,87.019516098,Canada
1,01/01/1981,56.823778824,Mexico
1,01/01/1981,761.703041926,US
1,01/01/1981,22.977963266,Argentina
1,01/01/1981,53.222298158,Brazil
1,01/01/1981,5.65712002,Chile
1,01/01/1981,7.788620905,Colombia
1,01/01/1981,3.43492806,Ecuador
1,01/01/1981,6.912013972,Peru
1,01/01/1981,1.664713289,Trinidad & Tobago
1,01/01/1981,22.496858952,Venezuela
1,01/01/1981,11.232234379,Austria
1,01/01/1981,23.893461211,Belgium
1,01/01/1981,12.647106501,Bulgaria
1,01/01/1981,,Croatia
1,01/01/1981,0.847480104,Cyprus
1,01/01/1981,11.569437661,Czech Republic
1,01/01/1981,13.066839639,Denmark
1,01/01/1981,,Estonia
1,01/01/1981,12.503748471,Finland
1,01/01/1981,101.611107337,France
1,01/01/1981,137.69427367,Germany
1,01/01/1981,12.110230725,Greece
1,01/01/1981,11.078464293,Hungary
1,01/01/1981,0.584287499,Iceland
1,01/01/1981,5.192114312,Ireland
1,01/01/1981,97.913562387,Italy
1,01/01/1981,,Latvia
1,01/01/1981,,Lithuania
1,01/01/1981,1.073248209,Luxembourg
1,01/01/1981,36.704036448,Netherlands
1,01/01/1981,,North Macedonia
1,01/01/1981,8.958169222,Norway
1,01/01/1981,16.426151595,Poland
1,01/01/1981,9.115311622,Portugal
1,01/01/1981,16.910734308,Romania
1,01/01/1981,6.650527181,Slovakia
1,01/01/1981,,Slovenia
1,01/01/1981,51.508075619,Spain
1,01/01/1981,28.586224209,Sweden
1,01/01/1981,12.254890704,Switzerland
1,01/01/1981,15.479726569,Turkey
1,01/01/1981,,Ukraine
1,01/01/1981,77.151339687,United Kingdom
1,01/01/1981,,Azerbaijan
1,01/01/1981,,Belarus
1,01/01/1981,,Kazakhstan
1,01/01/1981,,Russian Federation
1,01/01/1981,,Turkmenistan
1,01/01/1981,433.81864651,USSR
1,01/01/1981,,Uzbekistan
1,01/01/1981,28.43369309,Iran
1,01/01/1981,7.467082246,Iraq
1,01/01/1981,8.268244936,Israel
1,01/01/1981,5.768810237,Kuwait
1,01/01/1981,0.895322227,Oman
1,01/01/1981,0.799947382,Qatar
1,01/01/1981,33.839274034,Saudi Arabia
1,01/01/1981,5.674542515,United Arab Emirates
1,01/01/1981,6.132680376,Algeria
1,01/01/1981,15.404866031,Egypt
1,01/01/1981,4.314441889,Morocco
1,01/01/1981,13.423439787,South Africa
1,01/01/1981,9.235969962,Eastern Africa
1,01/01/1981,30.468041792,Australia
1,01/01/1981,1.710485072,Bangladesh
1,01/01/1981,82.580084467,China
1,01/01/1981,6.964930233,China Hong Kong SAR
1,01/01/1981,34.880076025,India
1,01/01/1981,21.329339352,Indonesia
1,01/01/1981,226.889192223,Japan
1,01/01/1981,8.8888568,Malaysia
1,01/01/1981,4.041495384,New Zealand
1,01/01/1981,5.484668506,Pakistan
1,01/01/1981,10.381722318,Philippines
1,01/01/1981,11.032347569,Singapore
1,01/01/1981,24.260256114,South Korea
1,01/01/1981,1.23495535,Sri Lanka
1,01/01/1981,16.484117703,Taiwan
1,01/01/1981,11.298613094,Thailand
1,01/01/1981,1.743301218,Vietnam
1,01/01/1982,78.005534657,Canada
1,01/01/1982,58.836915427,Mexico
1,01/01/1982,721.187992259,US
1,01/01/1982,22.039641468,Argentina
1,01/01/1982,54.543706033,Brazil
1,01/01/1982,5.019241736,Chile
1,01/01/1982,7.990940623,Colombia
1,01/01/1982,3.751499045,Ecuador
1,01/01/1982,6.739846948,Peru
1,01/01/1982,1.846509482,Trinidad & Tobago
1,01/01/1982,22.234238847,Venezuela
1,01/01/1982,10.653550396,Austria
1,01/01/1982,22.62466841,Belgium
1,01/01/1982,12.255535254,Bulgaria
1,01/01/1982,,Croatia
1,01/01/1982,1.015803263,Cyprus
1,01/01/1982,10.597048486,Czech Republic
1,01/01/1982,11.25691318,Denmark
1,01/01/1982,,Estonia
1,01/01/1982,11.573523383,Finland
1,01/01/1982,94.101142734,France
1,01/01/1982,130.168321081,Germany
1,01/01/1982,12.16773832,Greece
1,01/01/1982,10.494421993,Hungary
1,01/01/1982,0.533964364,Iceland
1,01/01/1982,4.544962668,Ireland
1,01/01/1982,92.975608818,Italy
1,01/01/1982,,Latvia
1,01/01/1982,,Lithuania
1,01/01/1982,1.061610777,Luxembourg
1,01/01/1982,32.078048623,Netherlands
1,01/01/1982,,North Macedonia
1,01/01/1982,8.608105737,Norway
1,01/01/1982,15.509635497,Poland
1,01/01/1982,9.545208582,Portugal
1,01/01/1982,16.659691722,Romania
1,01/01/1982,6.091829082,Slovakia
1,01/01/1982,,Slovenia
1,01/01/1982,48.69191521,Spain
1,01/01/1982,26.575063241,Sweden
1,01/01/1982,11.578472007,Switzerland
1,01/01/1982,16.567314632,Turkey
1,01/01/1982,,Ukraine
1,01/01/1982,78.039479268,United Kingdom
1,01/01/1982,,Azerbaijan
1,01/01/1982,,Belarus
1,01/01/1982,,Kazakhstan
1,01/01/1982,,Russian Federation
1,01/01/1982,,Turkmenistan
1,01/01/1982,430.651630027,USSR
1,01/01/1982,,Uzbekistan
1,01/01/1982,30.96022,Iran
1,01/01/1982,7.782151466,Iraq
1,01/01/1982,8.006482946,Israel
1,01/01/1982,6.594940695,Kuwait
1,01/01/1982,1.337080778,Oman
1,01/01/1982,1.120113452,Qatar
1,01/01/1982,37.662652848,Saudi Arabia
1,01/01/1982,6.302693776,United Arab Emirates
1,01/01/1982,6.498144263,Algeria
1,01/01/1982,17.519292706,Egypt
1,01/01/1982,4.54098352,Morocco
1,01/01/1982,13.606660743,South Africa
1,01/01/1982,8.910320683,Eastern Africa
1,01/01/1982,30.608495558,Australia
1,01/01/1982,1.687130004,Bangladesh
1,01/01/1982,81.764300614,China
1,01/01/1982,6.787742811,China Hong Kong SAR
1,01/01/1982,36.341903506,India
1,01/01/1982,22.168150712,Indonesia
1,01/01/1982,212.867813342,Japan
1,01/01/1982,9.299565729,Malaysia
1,01/01/1982,4.035795005,New Zealand
1,01/01/1982,6.03510717,Pakistan
1,01/01/1982,9.990457438,Philippines
1,01/01/1982,10.737289911,Singapore
1,01/01/1982,24.081547459,South Korea
1,01/01/1982,1.384165427,Sri Lanka
1,01/01/1982,15.850286997,Taiwan
1,01/01/1982,10.271935153,Thailand
1,01/01/1982,1.772233488,Vietnam
1,01/01/1983,73.068234642,Canada
1,01/01/1983,57.327406559,Mexico
1,01/01/1983,716.806773013,US
1,01/01/1983,22.436621501,Argentina
1,01/01/1983,52.624363465,Brazil
1,01/01/1983,4.875265238,Chile
1,01/01/1983,8.26553787,Colombia
1,01/01/1983,3.436769585,Ecuador
1,01/01/1983,5.945137551,Peru
1,01/01/1983,1.605243957,Trinidad & Tobago
1,01/01/1983,21.712212114,Venezuela
1,01/01/1983,10.325002962,Austria
1,01/01/1983,20.529278279,Belgium
1,01/01/1983,11.835428179,Bulgaria
1,01/01/1983,,Croatia
1,01/01/1983,1.068846064,Cyprus
1,01/01/1983,10.376024936,Czech Republic
1,01/01/1983,10.64941146,Denmark
1,01/01/1983,,Estonia
1,01/01/1983,10.748560882,Finland
1,01/01/1983,91.846213934,France
1,01/01/1983,127.467592195,Germany
1,01/01/1983,11.676506162,Greece
1,01/01/1983,9.951035349,Hungary
1,01/01/1983,0.518806774,Iceland
1,01/01/1983,4.127648084,Ireland
1,01/01/1983,90.579229626,Italy
1,01/01/1983,,Latvia
1,01/01/1983,,Lithuania
1,01/01/1983,1.011054863,Luxembourg
1,01/01/1983,30.398494905,Netherlands
1,01/01/1983,,North Macedonia
1,01/01/1983,8.453333238,Norway
1,01/01/1983,16.031612664,Poland
1,01/01/1983,9.633618047,Portugal
1,01/01/1983,14.884742524,Romania
1,01/01/1983,5.964035182,Slovakia
1,01/01/1983,,Slovenia
1,01/01/1983,48.790276584,Spain
1,01/01/1983,23.100480819,Sweden
1,01/01/1983,12.66849465,Switzerland
1,01/01/1983,17.421959707,Turkey
1,01/01/1983,,Ukraine
1,01/01/1983,75.044809879,United Kingdom
